代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
600006,东风股份,C36汽车制造业,2025-08-11,3.8,3.8,7.64,8.01,True,4,12,-0.26,379.54,1.81
600030,中信证券,J67资本市场服务,2025-08-15,3.03,4.89,30.83,123.14,True,3,8,0.2,19.79,1.72
600067,冠城新材,C38电气机械和器材制造业,2025-08-20,3.1,4.35,3.14,2.31,True,4,5,-3.46,-7.18,0.8
600081,东风科技,C36汽车制造业,2025-08-11,4.13,4.58,13.65,3.24,True,2,12,0.5,70.2,1.64
600089,特变电工,C38电气机械和器材制造业,2025-08-21,3.06,5.57,14.22,37.85,True,2,4,-0.91,16.77,1.1
600106,重庆路桥,G54道路运输业,2025-07-31,4.48,5.05,6.45,4.85,True,2,19,11.63,41.02,1.65
600107,ST尔雅,C18纺织服装、服饰业,2025-08-22,3.43,3.04,5.43,1.4,True,2,3,4.79,-31.12,4.04
600109,国金证券,J67资本市场服务,2025-08-13,3.03,2.53,9.72,10.46,True,2,10,4.01,19.13,1.05
600115,中国东航,G56航空运输业,2025-08-15,3.66,4.16,4.01,7.5,True,2,8,2.49,-20.23,6.38
600120,浙江东方,J69其他金融业,2025-08-13,3.47,2.73,6.39,11.99,True,3,10,0.94,20.78,1.38
600153,建发股份,L72商务服务业,2025-08-14,4.89,5.42,10.9,7.63,True,2,9,4.31,10.8,0.56
600167,联美控股,D44电力、热力生产和供应业,2025-08-04,3.09,3.65,6.24,1.45,True,2,17,5.77,19.81,1.24
600176,中国巨石,C30非金属矿物制品业,2025-08-15,3.34,6.52,13.23,15.04,True,5,8,1.74,18.75,1.72
600198,大唐电信,C39计算机、通信和其他电子设备制造业,2025-08-05,4.72,5.54,8.96,6.24,True,3,16,2.57,408.1,47.13
600199,金种子酒,C15酒、饮料和精制茶制造业,2025-08-20,3.48,5.24,11.44,7.78,True,3,5,-3.06,-23.95,3.53
600217,中再资环,C42废弃资源综合利用业,2025-08-18,3.74,2.95,4.54,2.95,True,5,7,-1.76,447.08,2.18
600227,赤天化,C26化学原料和化学制品制造业,2025-08-18,3.16,4.55,2.53,1.67,True,2,7,1.98,-46.17,1.71
600230,沧州大化,C26化学原料和化学制品制造业,2025-08-19,3.17,3.99,13.55,4.83,True,3,6,-4.43,360.23,1.4
600251,冠农股份,C13农副食品加工业,2025-08-08,3.18,3.53,8.21,1.45,True,2,13,3.17,43.54,1.69
600257,大湖股份,A04渔业,2025-08-19,3.47,3.87,5.63,3.27,True,2,6,-1.42,-41.21,3.41
600278,东方创业,F51批发业,2025-08-05,4.48,3.47,7.75,2.52,True,2,16,2.32,32.13,0.9
600282,南钢股份,C31黑色金属冶炼和压延加工业,2025-08-20,3.08,5.59,4.72,4.62,True,2,5,-0.21,11.68,1.08
600284,浦东建设,E48土木工程建筑业,2025-08-08,4.47,3.8,7.11,3.22,True,2,13,33.47,12.18,0.88
600292,远达环保,N77生态保护和环境治理业,2025-08-12,3.95,3.07,12.42,3.77,True,4,11,2.17,218.15,1.87
600298,安琪酵母,C14食品制造业,2025-08-15,5.77,6.79,38.04,16.61,True,2,8,2.68,23.05,2.94
600318,新力金融,J66货币金融服务,2025-08-13,3.05,2.5,10.65,13.26,True,2,10,1.6,155.27,5.05
600330,天通股份,C39计算机、通信和其他电子设备制造业,2025-08-14,3.21,3.85,8.37,10.16,True,2,9,2.03,111.79,1.29
600355,*ST精伦,C39计算机、通信和其他电子设备制造业,2025-08-13,3.19,2.56,3.2,2.12,True,2,10,18.44,-37.14,14.05
600356,恒丰纸业,C22造纸和纸制品业,2025-08-25,4.99,5.5,9.79,2.76,True,2,2,5.31,24.03,1.12
600361,创新新材,C32有色金属冶炼和压延加工业,2025-08-11,5.55,4.67,4.26,5.71,True,4,12,7.28,18.7,1.59
600363,联创光电,C39计算机、通信和其他电子设备制造业,2025-08-11,3.36,6.31,59.15,14.59,True,2,12,7.35,106.33,6.29
600365,ST通葡,F52零售业,2025-08-15,3.45,4.91,3.42,0.57,True,3,8,0.88,-27.36,5.07
600366,宁波韵升,C30非金属矿物制品业,2025-08-11,3.51,3.52,15.0,46.97,True,2,12,11.2,124.21,2.78
600372,中航机载,C37铁路、船舶、航空航天和其他运输设备制造业,2025-07-30,3.52,2.25,12.72,14.53,True,5,20,-2.75,89.53,1.65
600421,*ST华嵘,C34通用设备制造业,2025-08-14,3.63,4.94,7.43,0.07,True,2,9,19.38,-282.9,201.88
600452,涪陵电力,D44电力、热力生产和供应业,2025-08-05,5.24,5.97,9.94,10.17,True,2,16,7.65,30.73,2.83
600458,时代新材,C29橡胶和塑料制品业,2025-08-15,3.32,6.46,14.51,4.65,True,3,8,-1.45,28.36,2.15
600463,空港股份,E48土木工程建筑业,2025-08-21,4.17,4.18,12.2,4.2,True,3,4,1.56,-38.4,3.93
600478,科力远,C38电气机械和器材制造业,2025-08-14,3.05,3.05,6.09,7.32,True,2,9,-3.45,124.69,3.62
600487,亨通光电,C38电气机械和器材制造业,2025-08-08,3.25,5.67,16.97,29.49,True,2,13,11.37,14.88,1.43
600495,晋西车轴,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-08,3.02,4.81,5.45,5.73,True,2,13,1.28,120.8,2.01
600517,国网英大,J69其他金融业,2025-08-25,3.1,4.4,5.93,6.42,True,2,2,2.53,19.24,1.54
600525,ST长园,C38电气机械和器材制造业,2025-08-12,3.38,3.72,3.35,1.2,True,5,11,-1.49,-4.07,1.1
600535,天士力,C27医药制造业,2025-08-18,4.72,5.38,17.05,11.85,True,2,7,-1.94,23.85,2.06
600545,卓郎智能,C35专用设备制造业,2025-08-08,4.29,5.33,2.57,2.98,True,2,13,3.89,-24.36,1.48
600567,山鹰国际,C22造纸和纸制品业,2025-08-15,4.34,2.13,1.92,9.29,True,2,8,-1.56,-22.99,0.7
600571,信雅达,I65软件和信息技术服务业,2025-08-14,3.04,2.8,18.73,12.26,True,2,9,1.71,122.39,7.6
600592,龙溪股份,C34通用设备制造业,2025-08-18,4.14,5.74,25.44,27.64,True,2,7,-4.48,84.78,4.08
600608,*ST沪科,F51批发业,2025-08-12,3.07,4.3,4.12,0.28,True,5,11,-0.49,-233.77,35.37
600609,金杯汽车,C36汽车制造业,2025-08-19,3.8,4.87,5.17,5.07,True,4,6,1.16,17.54,4.58
600615,鑫源智造,C33金属制品业,2025-08-18,3.25,5.02,13.4,1.94,True,2,7,-3.88,227.43,4.12
600616,金枫酒业,C15酒、饮料和精制茶制造业,2025-08-20,3.27,3.27,6.0,2.76,True,3,5,-2.67,677.03,2.04
600654,中安科,L72商务服务业,2025-08-07,5.66,3.27,3.47,10.27,True,3,14,4.03,1131.7,5.97
