代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
603206,嘉环科技,I65软件和信息技术服务业,2025-08-06,4.1,3.49,18.09,2.63,True,3,15,2.93,86.23,2.47
603210,泰鸿万立,C36汽车制造业,2025-08-18,4.24,2.22,21.2,2.61,True,2,7,0.99,39.4,6.58
603269,海鸥股份,C34通用设备制造业,2025-08-08,4.2,4.91,10.9,5.16,True,2,13,5.05,33.0,3.13
603271,永杰新材,C32有色金属冶炼和压延加工业,2025-08-06,3.99,3.34,37.8,2.23,True,2,15,5.93,22.63,2.77
603273,天元智能,C35专用设备制造业,2025-08-14,3.78,3.17,22.49,8.18,True,2,9,-7.74,138.86,5.5
603281,江瀚新材,C26化学原料和化学制品制造业,2025-08-18,5.14,5.97,26.97,3.24,True,2,7,-5.97,18.49,2.0
603285,键邦股份,C26化学原料和化学制品制造业,2025-08-11,3.25,2.19,24.28,1.48,True,3,12,0.0,29.67,2.37
603303,得邦照明,C38电气机械和器材制造业,2025-08-04,3.28,3.51,12.99,0.89,True,3,17,15.4,18.52,1.71
603316,诚邦股份,E48土木工程建筑业,2025-08-21,4.17,4.47,9.12,4.22,True,2,4,-5.92,-25.74,3.7
603331,百达精工,C34通用设备制造业,2025-08-01,3.97,4.7,10.92,2.01,True,2,18,-0.64,88.81,1.69
603333,尚纬股份,C38电气机械和器材制造业,2025-07-30,3.0,2.63,8.17,1.81,True,4,20,-2.33,276.83,2.45
603359,东珠生态,N77生态保护和环境治理业,2025-08-01,4.02,6.54,7.0,4.11,True,5,18,19.71,-4.93,1.17
603367,辰欣药业,C27医药制造业,2025-07-31,3.57,5.22,30.01,22.23,True,2,19,-11.63,27.75,2.23
603375,盛景微,C39计算机、通信和其他电子设备制造业,2025-08-07,3.34,2.71,40.97,2.97,True,3,14,2.42,140.45,2.62
603382,海阳科技,C26化学原料和化学制品制造业,2025-08-05,3.29,3.2,31.91,2.02,True,2,16,23.88,33.3,4.64
603395,红四方,C26化学原料和化学制品制造业,2025-08-21,5.9,6.36,36.46,5.59,True,2,4,-2.36,102.13,6.74
603488,展鹏科技,C34通用设备制造业,2025-08-01,3.4,7.0,9.02,3.49,True,2,18,-5.43,-199.23,2.73
